
2025/01/19 (18:01:21) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/19 (18:01:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/19 (18:07:30) | ===> btop++ v.1.4.0
2025/01/19 (18:07:30) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/19 (18:07:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/20 (10:50:18) | ===> btop++ v.1.4.0
2025/01/20 (10:50:18) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/20 (10:50:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/20 (18:10:52) | ===> btop++ v.1.4.0
2025/01/20 (18:10:52) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/20 (18:10:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/20 (18:12:43) | ERROR: Stall in Runner thread, restarting!

2025/01/20 (18:16:51) | ===> btop++ v.1.4.0
2025/01/20 (18:16:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/20 (18:16:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/24 (21:18:13) | ===> btop++ v.1.4.0
2025/01/24 (21:18:13) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/24 (21:18:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/26 (23:06:15) | ===> btop++ v.1.4.0
2025/01/26 (23:06:15) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/26 (23:06:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/26 (23:23:21) | ===> btop++ v.1.4.0
2025/01/26 (23:23:21) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/26 (23:23:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/27 (10:50:51) | ===> btop++ v.1.4.0
2025/01/27 (10:50:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/27 (10:50:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/31 (10:42:11) | ===> btop++ v.1.4.0
2025/01/31 (10:42:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/31 (10:42:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/01 (17:50:15) | ===> btop++ v.1.4.0
2025/02/01 (17:50:15) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/01 (17:50:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/01 (20:07:07) | ===> btop++ v.1.4.0
2025/02/01 (20:07:07) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/01 (20:07:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/02 (17:20:13) | ===> btop++ v.1.4.0
2025/02/02 (17:20:13) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/02 (17:20:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/03 (09:09:48) | ===> btop++ v.1.4.0
2025/02/03 (09:09:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/03 (09:09:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/03 (15:21:45) | ===> btop++ v.1.4.0
2025/02/03 (15:21:45) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/03 (15:21:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/03 (17:53:20) | ===> btop++ v.1.4.0
2025/02/03 (17:53:20) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/03 (17:53:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/03 (23:19:44) | ===> btop++ v.1.4.0
2025/02/03 (23:19:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/03 (23:19:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/03 (23:34:11) | ===> btop++ v.1.4.0
2025/02/03 (23:34:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/03 (23:34:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/04 (14:30:08) | ===> btop++ v.1.4.0
2025/02/04 (14:30:08) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/04 (14:30:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (17:06:44) | ===> btop++ v.1.4.0
2025/02/05 (17:06:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/05 (17:06:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/05 (17:06:54) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (17:06:57) | ===> btop++ v.1.4.0
2025/02/05 (17:06:57) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/05 (17:06:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/05 (17:07:06) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (23:23:20) | ===> btop++ v.1.4.0
2025/02/05 (23:23:20) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/05 (23:23:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (23:58:57) | ===> btop++ v.1.4.0
2025/02/05 (23:58:57) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/05 (23:58:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/05 (23:59:00) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (23:59:03) | ===> btop++ v.1.4.0
2025/02/05 (23:59:03) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/05 (23:59:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/07 (00:19:43) | ===> btop++ v.1.4.0
2025/02/07 (00:19:43) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/07 (00:19:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/08 (20:04:11) | ===> btop++ v.1.4.0
2025/02/08 (20:04:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/08 (20:04:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/08 (22:26:11) | ===> btop++ v.1.4.0
2025/02/08 (22:26:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/08 (22:26:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (22:26:19) | WARNING: Failed to join _runner thread on exit!

2025/02/09 (00:59:32) | ===> btop++ v.1.4.0
2025/02/09 (00:59:32) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/09 (00:59:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/09 (00:59:43) | WARNING: Failed to join _runner thread on exit!

2025/02/11 (13:41:38) | ===> btop++ v.1.4.0
2025/02/11 (13:41:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/11 (13:41:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/11 (13:41:45) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (14:10:02) | ===> btop++ v.1.4.0
2025/02/15 (14:10:02) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/15 (14:10:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (14:10:13) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (14:10:21) | ===> btop++ v.1.4.0
2025/02/15 (14:10:21) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/15 (14:10:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (21:18:36) | ===> btop++ v.1.4.0
2025/02/15 (21:18:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/15 (21:18:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (21:20:02) | ===> btop++ v.1.4.0
2025/02/15 (21:20:02) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/15 (21:20:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (21:28:23) | ===> btop++ v.1.4.0
2025/02/15 (21:28:23) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/15 (21:28:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (21:33:21) | ===> btop++ v.1.4.0
2025/02/15 (21:33:21) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/15 (21:33:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (21:49:37) | ===> btop++ v.1.4.0
2025/02/15 (21:49:37) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/15 (21:49:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (21:53:17) | WARNING: Failed to join _runner thread on exit!

2025/02/16 (02:20:17) | ===> btop++ v.1.4.0
2025/02/16 (02:20:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/16 (02:20:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/16 (02:41:18) | ===> btop++ v.1.4.0
2025/02/16 (02:41:18) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/16 (02:41:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/16 (06:02:36) | ===> btop++ v.1.4.0
2025/02/16 (06:02:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/16 (06:02:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/18 (23:01:29) | ===> btop++ v.1.4.0
2025/02/18 (23:01:29) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/18 (23:01:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (23:01:53) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (16:17:36) | ===> btop++ v.1.4.0
2025/02/19 (16:17:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/19 (16:17:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/20 (23:51:08) | ===> btop++ v.1.4.0
2025/02/20 (23:51:08) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/20 (23:51:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/20 (23:51:19) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (20:02:00) | ===> btop++ v.1.4.0
2025/02/23 (20:02:00) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/23 (20:02:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (20:02:13) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (20:02:52) | ===> btop++ v.1.4.0
2025/02/23 (20:02:52) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/23 (20:02:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/24 (13:06:29) | ===> btop++ v.1.4.0
2025/02/24 (13:06:29) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/24 (13:06:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/24 (23:55:40) | ===> btop++ v.1.4.0
2025/02/24 (23:55:40) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/24 (23:55:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/24 (01:09:44) | WARNING: Failed to join _runner thread on exit!

2025/03/24 (01:09:45) | ===> btop++ v.1.4.0
2025/03/24 (01:09:45) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/03/24 (01:09:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/24 (01:09:55) | WARNING: Failed to join _runner thread on exit!

2025/03/24 (01:09:56) | ===> btop++ v.1.4.0
